id,published_date,title,source,tags,crawl_date,tickers,day_name
94504727,2026-04-15 10:05:00+00:00,Snap to Cut 16% of Its Workforce in Quest for Profitability,bloomberg.com,"['Stock', 'Technology', 'Tiingo Top']",2026-04-15 10:14:28.392417+00:00,"['meta', 'snap']",Wednesday
94503516,2026-04-15 09:25:43.763000+00:00,Wall Street futures hold steady; earnings in focus,reuters.com,"['2026:Ml_Kbn3Qs0T9', '2026:Ml_Kbn3Qs0T9:1', '2026:Ml_Kbn3Qs0Ta', '2026:Ml_Kbn3Qs0Ta:1', '2026:Ml_L4N40Y0O6', '2026:Ml_L4N40Y0O6:614243023', 'Consumer Cyclical', 'Financial Services', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Usn:Kbn3Qs0T9', 'Usn:Kbn3Qs0Ta', 'Usn:L4N40Y0O6', 'Vguid:Tag:Reuters.Com']",2026-04-15 09:35:18.456721+00:00,"['avgo', 'bac', 'meta', 'ms', 'nke']",Wednesday
94497324,2026-04-15 01:03:39.633000+00:00,Bessent Calls Anthropic’s Mythos a Breakthrough in China AI Race,bloomberg.com,"['China', 'Stock', 'Technology', 'Tiingo Top']",2026-04-15 01:20:21.600500+00:00,"['googl', 'meta']",Wednesday
94495427,2026-04-14 23:04:27.714000+00:00,Maine legislature approves first US moratorium on big data centers,reuters.com,"['2026:Ml_Kbn3Qr2Nz', '2026:Ml_Kbn3Qr2Nz:1', '2026:Ml_Kbn3Qr2Nz:2', '2026:Ml_Kbn3Qr2O0', '2026:Ml_Kbn3Qr2O0:1', '2026:Ml_Kbn3Qr2O0:2', '2026:Ml_L4N40X252', '2026:Ml_L4N40X252:1243423791', 'Consumer Cyclical', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Usn:Kbn3Qr2Nz', 'Usn:Kbn3Qr2O0', 'Usn:L4N40X252', 'Vguid:Tag:Reuters.Com']",2026-04-14 23:22:32.252639+00:00,"['amzn', 'googl', 'meta', 'msft']",Tuesday
94492879,2026-04-14 21:19:44.683000+00:00,Meta inks deal with Broadcom for custom AI chips,reuters.com,"['2026:Ml_Kbn3Qr2Kj', '2026:Ml_Kbn3Qr2Kj:1', '2026:Ml_Kbn3Qr2Kk', '2026:Ml_Kbn3Qr2Kk:1', '2026:Ml_L4N40X21J', '2026:Ml_L4N40X21J:1710297903', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Usn:Kbn3Qr2Kj', 'Usn:Kbn3Qr2Kk', 'Usn:L4N40X21J', 'Vguid:Tag:Reuters.Com']",2026-04-14 21:26:18.763252+00:00,"['avgo', 'brcm', 'meta']",Tuesday
94493436,2026-04-14 21:13:49.414000+00:00,"Meta, Broadcom Deepen Ties on Chips; Tan Departs Meta’s Board",bloomberg.com,"['Consumer Defensive', 'Stock', 'Technology', 'Tiingo Top']",2026-04-14 21:41:33.859053+00:00,"['avgo', 'brcm', 'el', 'meta']",Tuesday
94483024,2026-04-14 16:01:45.028000+00:00,Italy court allows class action against Meta over Facebook data scraping,reuters.com,"['2026:Ml_Kbn3Qr1Y1', '2026:Ml_Kbn3Qr1Y1:1', '2026:Ml_Kbn3Qr1Y1:2', '2026:Ml_Kbn3Qr1Y2', '2026:Ml_Kbn3Qr1Y2:1', '2026:Ml_L8N40X1Sh', '2026:Ml_L8N40X1Sh:1393439682', 'Guid:Tag:Reuters.Com', 'Italy', 'Stock', 'Technology', 'Usn:Kbn3Qr1Y1', 'Usn:Kbn3Qr1Y2', 'Usn:L8N40X1Sh', 'Vguid:Tag:Reuters.Com']",2026-04-14 16:40:17.012622+00:00,['meta'],Tuesday
94482187,2026-04-14 16:00:09.630000+00:00,Tribunale Milano ammette class action contro Meta per furto dati Facebook,reuters.com,"['2026:Ml_Kbn3Qr1Zg', '2026:Ml_Kbn3Qr1Zg:1', '2026:Ml_Kbn3Qr1Zh', '2026:Ml_Kbn3Qr1Zh:1', '2026:Ml_L8N40X1Wv', '2026:Ml_L8N40X1Wv:222685395', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Usn:Kbn3Qr1Zg', 'Usn:Kbn3Qr1Zh', 'Usn:L8N40X1Wv', 'Vguid:Tag:Reuters.Com']",2026-04-14 16:12:20.652556+00:00,['meta'],Tuesday
94477131,2026-04-14 13:15:12.271000+00:00,"South Africa wins record investment pledges, but delivery gap persists",reuters.com,"['2026:Ml_Kbn3Qr1Fh', '2026:Ml_Kbn3Qr1Fh:1', '2026:Ml_Kbn3Qr1Fi', '2026:Ml_Kbn3Qr1Fi:1', '2026:Ml_L6N40R0O6', '2026:Ml_L6N40R0O6:72580519', '2026:Ml_M1L6N40R0O6', '2026:Ml_M1L6N40R0O6:72580519', 'Financial Services', 'Guid:Tag:Reuters.Com', 'South Africa', 'Stock', 'Technology', 'Unknown Sector', 'Usn:Kbn3Qr1Fh', 'Usn:Kbn3Qr1Fi', 'Usn:L6N40R0O6', 'Usn:M1L6N40R0O6', 'Vguid:Tag:Reuters.Com']",2026-04-14 13:44:34.067491+00:00,"['meta', 'prx', 'uber', 'v']",Tuesday
94466897,2026-04-14 07:25:44.071000+00:00,FT: Investoren zweifeln an Bewertung von OpenAI - Fehlende Strategie,reuters.com,"['2026:Ml_Kbn3Qr0Ka', '2026:Ml_Kbn3Qr0Ka:1', '2026:Ml_Kbn3Qr0Kb', '2026:Ml_Kbn3Qr0Kb:1', '2026:Ml_L8N40X0C9', '2026:Ml_L8N40X0C9:1637347023', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Usn:Kbn3Qr0Ka', 'Usn:Kbn3Qr0Kb', 'Usn:L8N40X0C9', 'Vguid:Tag:Reuters.Com']",2026-04-14 07:38:37.940499+00:00,"['googl', 'ibm', 'meta', 'msft', 'nvda']",Tuesday
